Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,City_Name,Host_Country
548385,04-03-2009,6,3,5,"MA Chidambaram Stadium, Chepauk",6,field,0,1,0,by runs,86,3,185,Chennai,India
548386,05-03-2009,1,3,5,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,5,1,214,Chennai,India
598003,06-03-2009,1,6,6,Eden Gardens,1,field,0,1,0,by wickets,6,1,315,Kolkata,India
598004,07-03-2009,2,7,6,M Chinnaswamy Stadium,7,field,0,1,0,by runs,2,2,162,Bangalore,India
598005,08-03-2009,11,10,6,"Rajiv Gandhi International Stadium, Uppal",10,field,0,1,0,by runs,22,11,136,Hyderabad,India
598006,09-03-2009,6,5,6,Feroz Shah Kotla,5,bat,0,1,0,by runs,5,5,6,Delhi,India
598007,10-03-2009,3,7,6,"MA Chidambaram Stadium, Chepauk",7,bat,0,1,0,by runs,9,7,221,Chennai,India
598008,11-03-2009,10,4,6,Subrata Roy Sahara Stadium,10,bat,0,1,0,by wickets,8,4,345,Pune,India
598009,12-03-2009,11,2,6,"Rajiv Gandhi International Stadium, Uppal",2,bat,1,1,0,Tie,NULL,11,340,Hyderabad,India
598010,13-03-2009,5,1,6,Sawai Mansingh Stadium,1,field,0,1,0,by runs,19,5,39,Jaipur,India
598011,14-03-2009,7,6,6,Wankhede Stadium,7,bat,0,1,0,by runs,44,7,88,Mumbai,India
598012,15-03-2009,4,3,6,"Punjab Cricket Association Stadium, Mohali",3,field,0,1,0,by wickets,10,3,19,Chandigarh,India
598013,16-03-2009,2,1,6,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,8,2,162,Bangalore,India
598014,17-03-2009,10,5,6,Subrata Roy Sahara Stadium,5,bat,0,1,0,by wickets,7,10,254,Pune,India
598015,18-03-2009,6,11,6,Feroz Shah Kotla,6,bat,0,1,0,by wickets,3,11,136,Delhi,India
598016,19-03-2009,7,10,6,Wankhede Stadium,7,bat,0,1,0,by runs,41,7,57,Mumbai,India
598017,20-03-2009,3,2,6,"MA Chidambaram Stadium, Chepauk",3,field,0,1,0,by wickets,4,3,35,Chennai,India
598018,21-03-2009,1,11,6,Eden Gardens,1,bat,0,1,0,by runs,48,1,40,Kolkata,India
598019,22-03-2009,5,4,6,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,6,5,310,Jaipur,India
598020,23-03-2009,3,10,6,"MA Chidambaram Stadium, Chepauk",10,bat,0,1,0,by runs,24,10,306,Chennai,India
598021,24-03-2009,4,1,6,"Punjab Cricket Association Stadium, Mohali",1,field,0,1,0,by runs,4,4,120,Chandigarh,India
598022,25-03-2009,2,6,6,M Chinnaswamy Stadium,2,field,1,1,0,Tie,NULL,2,8,Bangalore,India
598023,26-03-2009,10,11,6,Subrata Roy Sahara Stadium,10,field,0,1,0,by runs,11,11,136,Pune,India
598024,27-03-2009,5,7,6,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,87,5,85,Jaipur,India
598025,28-03-2009,6,3,6,Feroz Shah Kotla,3,bat,0,1,0,by runs,86,3,19,Delhi,India
598026,29-03-2009,11,4,6,"Rajiv Gandhi International Stadium, Uppal",4,bat,0,1,0,by wickets,5,11,340,Hyderabad,India
598027,30-03-2009,1,3,6,Eden Gardens,1,bat,0,1,0,by wickets,4,3,35,Kolkata,India
598028,31-03-2009,2,5,6,M Chinnaswamy Stadium,2,field,0,1,0,by wickets,7,2,81,Bangalore,India
598029,01-04-2009,6,7,6,Feroz Shah Kotla,7,bat,0,1,0,by wickets,9,6,41,Delhi,India
598030,02-04-2009,4,10,6,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by wickets,7,4,320,Chandigarh,India
598031,03-04-2009,3,5,6,"MA Chidambaram Stadium, Chepauk",5,bat,0,1,0,by wickets,5,3,19,Chennai,India
598032,04-04-2009,2,10,6,M Chinnaswamy Stadium,10,field,0,1,0,by runs,130,2,162,Bangalore,India
598033,05-04-2009,4,6,6,Himachal Pradesh Cricket Association Stadium,6,field,0,1,0,by runs,7,4,320,Dharamsala,India
598034,06-04-2009,1,7,6,Eden Gardens,1,bat,0,1,0,by wickets,5,7,147,Kolkata,India
598035,07-04-2009,3,11,6,"MA Chidambaram Stadium, Chepauk",11,bat,0,1,0,by wickets,5,3,20,Chennai,India
598036,08-04-2009,1,4,6,Eden Gardens,4,bat,0,1,0,by wickets,6,1,9,Kolkata,India
598037,09-04-2009,5,11,6,Sawai Mansingh Stadium,11,bat,0,1,0,by wickets,8,5,310,Jaipur,India
598038,10-04-2009,7,2,6,Wankhede Stadium,7,bat,0,1,0,by runs,58,7,147,Mumbai,India
598039,11-04-2009,3,1,6,"MA Chidambaram Stadium, Chepauk",1,field,0,1,0,by runs,14,3,19,Chennai,India
598040,12-04-2009,6,10,6,Shaheed Veer Narayan Singh International Stadium,10,field,0,1,0,by runs,15,6,187,Raipur,India
598041,13-04-2009,5,2,6,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,4,5,351,Jaipur,India
598042,14-04-2009,7,4,6,Wankhede Stadium,7,bat,0,1,0,by runs,4,7,57,Mumbai,India
598043,15-04-2009,10,3,6,Subrata Roy Sahara Stadium,3,bat,0,1,0,by runs,37,3,20,Pune,India
598044,16-04-2009,11,7,6,"Rajiv Gandhi International Stadium, Uppal",7,bat,0,1,0,by wickets,7,11,84,Hyderabad,India
598045,17-04-2009,6,1,6,Shaheed Veer Narayan Singh International Stadium,1,bat,0,1,0,by wickets,7,6,187,Raipur,India
598046,18-04-2009,3,4,6,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by runs,15,3,21,Chennai,India
598047,19-04-2009,10,2,6,Subrata Roy Sahara Stadium,2,bat,0,1,0,by runs,17,2,110,Pune,India
598048,20-04-2009,1,5,6,Eden Gardens,5,bat,0,1,0,by wickets,8,1,31,Kolkata,India
598049,21-04-2009,11,6,6,"Rajiv Gandhi International Stadium, Uppal",6,bat,0,1,0,by wickets,6,11,362,Hyderabad,India
598050,22-04-2009,2,4,6,M Chinnaswamy Stadium,4,field,0,1,0,by wickets,7,4,53,Bangalore,India
598051,23-04-2009,7,3,6,Wankhede Stadium,7,bat,0,1,0,by runs,60,7,357,Mumbai,India
598052,24-04-2009,5,10,6,Sawai Mansingh Stadium,10,bat,0,1,0,by wickets,5,5,85,Jaipur,India
598053,25-04-2009,2,11,6,M Chinnaswamy Stadium,11,bat,0,1,0,by wickets,7,2,8,Bangalore,India
598054,26-04-2009,5,6,6,Sawai Mansingh Stadium,6,bat,0,1,0,by wickets,9,5,85,Jaipur,India
598055,27-04-2009,7,1,6,Wankhede Stadium,7,bat,0,1,0,by runs,65,7,133,Mumbai,India
598056,28-04-2009,11,3,6,"Rajiv Gandhi International Stadium, Uppal",11,field,0,1,0,by runs,77,3,21,Hyderabad,India
598057,29-04-2009,4,5,6,"Punjab Cricket Association Stadium, Mohali",5,field,0,1,0,by wickets,8,5,309,Chandigarh,India
598058,30-04-2009,10,1,6,Subrata Roy Sahara Stadium,1,bat,0,1,0,by runs,46,1,40,Pune,India
598059,01-05-2009,6,2,6,Feroz Shah Kotla,6,field,0,1,0,by runs,4,2,346,Delhi,India
598060,02-05-2009,10,7,6,Subrata Roy Sahara Stadium,10,bat,0,1,0,by wickets,5,7,357,Pune,India
598061,03-05-2009,4,11,6,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by runs,30,11,17,Chandigarh,India
598062,04-05-2009,1,2,6,JSCA International Stadium Complex,1,field,0,1,0,by wickets,5,1,9,Ranchi,India
598063,05-05-2009,5,3,6,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,5,5,32,Jaipur,India
598064,06-05-2009,6,4,6,Feroz Shah Kotla,4,field,0,1,0,by wickets,5,4,256,Delhi,India
